# STAR             = Aldebaran
# RA(ICRS, deg)    = 68.980163
# Dec(ICRS, deg)   = 16.509302
# pmRA  (mas/yr)   = 63.4500
# pmDec (mas/yr)   = -188.940
# parallax (mas)   = 48.9400
# Vrad  (km/s)     = 54260.0
# Vtemplate (km/s) = 29617.0
# -------------------------------------------------------------------------------------------------------------------------------------- 
#           Filename                         JD_MID               BJD_MID           RV_raw        RV_bvc     Sigma1    Sigma2    Flux   
#                                            [days]                [days]            [m/s]         [m/s]      [m/s]     [m/s]    [ADU]  
# -------------------------------------------------------------------------------------------------------------------------------------- 
s1_2016-11-16T02-40-55_ext.iod        2457708.6119280001  2457708.6182130524      46591.23      54364.82     63.74      2.02   52521.4
s1_2016-11-16T02-41-29_ext.iod        2457708.6123235002  2457708.6186085627      46589.88      54362.31     67.39      2.03   60997.2
s1_2016-11-16T02-42-04_ext.iod        2457708.6127227000  2457708.6190077732      46593.74      54365.00     66.92      1.98   63661.0
s1_2016-11-17T02-40-54_ext.iod        2457709.6119174999  2457709.6182278609      47141.64      54408.59     73.17      2.38   65952.7
s1_2016-11-17T02-41-29_ext.iod        2457709.6123166000  2457709.6186269708      47143.04      54408.82     76.24      2.56   70119.6
s1_2016-11-17T02-42-03_ext.iod        2457709.6127169002  2457709.6190272807      47143.67      54408.27     74.88      2.45   70810.5
s1_2016-11-18T03-26-44_ext.iod        2457710.6437496999  2457710.6500844094      47858.73      54525.12    111.91      4.35    4328.4
s1_2016-11-18T03-27-19_ext.iod        2457710.6441445001  2457710.6504792180      47863.82      54529.12    115.66      4.93    3906.8
s1_2016-11-18T03-27-54_ext.iod        2457710.6445491002  2457710.6508838274      47865.68      54529.85     82.45      3.22   13532.1
s1_2016-11-20T05-29-10_ext.iod        2457712.7287623002  2457712.7351406831      49020.26      54458.96     73.43      2.32   42233.2
s1_2016-11-20T05-29-44_ext.iod        2457712.7291571000  2457712.7355354899      49020.24      54458.19     71.39      2.29   43643.2
s1_2016-11-20T05-30-18_ext.iod        2457712.7295589000  2457712.7359372973      49021.27      54458.48     75.46      2.51   44685.5
s1_2016-11-21T05-27-26_ext.iod        2457713.7275646999  2457713.7339614215      49552.89      54478.30     73.99      2.41   30719.8
s1_2016-11-21T05-28-00_ext.iod        2457713.7279587998  2457713.7343555279      49554.22      54478.89     74.39      2.32   26976.6
s1_2016-11-21T05-28-35_ext.iod        2457713.7283605998  2457713.7347573345      49556.22      54480.15     76.16      2.61   19793.1
s1_2016-11-24T05-29-11_ext.iod        2457716.7287832000  2457716.7352247173      51054.76      54417.46     74.13      2.16   31569.5
